layer,final_train_loss,final_train_mse,final_train_l1,final_train_l0,final_test_loss,final_test_mse,final_test_l1,final_test_l0,probe_r2_full,probe_r2_top10,probe_r2_top20,probe_r2_top50,n_X_positive,n_X_negative,n_Y_positive,n_Y_negative,max_abs_correlation,mean_abs_correlation
12,0.0016993466997519135,0.00033206510852323845,0.0013672815926838665,160.2811248779297,0.001589002087712288,0.0003213496529497206,0.0012676523765549064,139.84999084472656,-0.007518750241308251,-0.003808310008573216,-0.004604052870609794,-0.006006135152888836,0,1,21,5,0.23816702921485466,0.16989047852332909
13,0.0021139293210580947,0.00041985927236964926,0.0016940700763370842,188.40625,0.0019865119829773903,0.0004079599748365581,0.001578552066348493,163.84999084472656,-0.013642946147607008,-0.004399358420980715,-0.0068011249518740895,-0.0129224578554988,0,0,77,6,0.22763574800113984,0.17567362018589291
14,0.0029244686011224985,0.0004832651873584837,0.002441203407943249,228.8453125,0.0027389549650251865,0.0004686026950366795,0.002270352328196168,192.239990234375,-0.009114099901287679,-0.0037440795576558403,-0.004318507436048409,-0.006534007653082208,0,5,6,3,0.24435129119840499,0.1833373829482993
15,0.0032417156849987804,0.0006314127240329981,0.0026103029726073147,251.765625,0.003034061286598444,0.0005985189927741885,0.0024355424102395773,219.1199951171875,0.0026835383048052774,0.0013459302672722921,0.005797961049220886,0.006563769359027212,0,12,6,96,0.2788677302806448,0.19548404690038557
16,0.0052436370169743896,0.0009697570494608954,0.004273879970423877,293.20943756103514,0.00496744504198432,0.0009222640073858202,0.004045180976390839,265.7699890136719,-0.006149682339639491,-0.002932085317961334,-0.0039542764982926455,-0.004372677148903326,1,27,12,80,0.2547342254816947,0.1879840505148974
17,0.003936010564211756,0.001310346194077283,0.002625664358492941,248.8811248779297,0.0036768317222595215,0.0012258210917934775,0.0024510107468813658,218.0,-0.012380505772918457,-0.005674333322609915,-0.01084247331870151,-0.013379274158182778,5,9,51,20,0.21671336127477026,0.17039123036924275
18,0.005266604782082141,0.0024776950012892485,0.0027889098040759564,329.6016876220703,0.004945485852658749,0.0023398546036332846,0.002605631249025464,301.7599792480469,-0.00011642909572403178,-0.004121712916304809,-0.006118726709195037,-0.007062423887920073,33,58,69,54,0.36676321720217064,0.17880532685303138
19,0.0139541894197464,0.006748202932067215,0.007205986441113055,795.6230621337891,0.013496361672878265,0.006637398153543472,0.006858963519334793,751.5199584960938,0.13505523555947915,0.00938038132863328,0.01360512881145933,0.024367115421680907,55,123,152,132,0.3052013253562014,0.17887823250454035
20,0.021421616338193415,0.014946995303034782,0.0064746210351586345,1408.5708740234375,0.02176619879901409,0.015307780355215073,0.006458418443799019,1356.1300048828125,0.11844483520542226,0.03276778203015085,0.04575927646775413,0.11662644132974624,125,178,264,323,0.3986217512525461,0.20851041615135135
21,0.021069758012890814,0.014345382200554013,0.0067243756959214805,1270.09599609375,0.020929675549268723,0.01453837938606739,0.006391295697540045,1223.4599609375,0.0734947341189089,0.10015818499689877,0.11428907478133428,0.09912799193835191,226,309,346,431,0.41779208522822125,0.22397168982736645
22,0.03215771522372961,0.02018793988972902,0.011969775473698974,1304.1255615234375,0.03219118341803551,0.020620226860046387,0.011570955626666546,1269.7899169921875,0.010109363454872566,0.06337812305155095,0.08913473769315554,0.10606243423242838,187,185,292,360,0.41288044111721856,0.21855895948948373
23,0.023952373303472996,0.016296484088525177,0.0076558892615139484,1413.598126220703,0.023502375930547714,0.016045009717345238,0.007457367144525051,1349.719970703125,0.07004350192800694,0.09367855639588278,0.08333485667645953,0.07388517199304141,153,181,267,454,0.4127633689883147,0.21431238905107167
24,0.03321986496448517,0.02080376138910651,0.012416103621944785,1408.6295593261718,0.03255534544587135,0.020387431606650352,0.012167913839221,1371.739990234375,-0.06459534990191222,0.031859068798938184,0.04587809516759519,0.04162664113065421,133,224,254,382,0.3540543613000173,0.19876583285235438
25,0.042461445182561876,0.025563554465770723,0.016897890157997607,1467.2898742675782,0.04340503364801407,0.02642662636935711,0.01697840914130211,1426.0299072265625,-0.12887590139030938,0.039122885277788254,0.045318789553209594,0.06604330364863605,107,95,119,469,0.35071928837968014,0.19521608536935348
26,0.07605254761874676,0.05867204237729311,0.017380505334585905,1291.3498107910157,0.07357707619667053,0.056954629719257355,0.016622450202703476,1212.739990234375,-0.3477690988172633,0.008151943776817014,0.010320906776336495,0.030127470544029644,179,98,63,159,0.2869462673064219,0.18807080085504926
27,0.47212197780609133,0.2833368077874184,0.18878516629338266,2092.9251220703127,0.45677366852760315,0.27602723240852356,0.1807464361190796,2078.159912109375,-0.5761746276716981,-0.0012688492118818617,0.013998464491714971,0.06048931797592364,151,57,11,84,0.2842497352693743,0.1811229153106439
